task,mlp_pr_auc,mlp_roc_auc,class_weight
NR-AR,0.45782833127975026,0.6650350791319954,15.0
NR-AR-LBD,0.42197776988491187,0.7958401751505199,15.0
NR-AhR,0.5186333544187053,0.8088161838161837,8.052810668945312
NR-Aromatase,0.22884285464621962,0.682094712885154,15.0
NR-ER,0.3478418023611223,0.7554829419583518,6.903726577758789
NR-ER-LBD,0.1332509910662826,0.7201448243114908,15.0
NR-PPAR-gamma,0.16126848790581585,0.7658593642493463,15.0
SR-ARE,0.46602990961474355,0.7409623839765511,5.829608917236328
SR-ATAD5,0.16771574464523267,0.72981220657277,15.0
SR-HSE,0.15174694902078423,0.6682569974554707,15.0
SR-MMP,0.5196144950007954,0.8208135391923991,5.706872463226318
SR-p53,0.348690988923286,0.7674594758369944,15.0
